date,sp500,sp500ret
20020617,1036.17,0.028691
20020618,1037.14,0.000936
20020619,1019.99,-0.016536
20020620,1006.29,-0.013432
20020621,989.14,-0.017043
20020624,992.72,0.003619
20020625,976.14,-0.016702
20020626,973.53,-0.002674
20020627,990.64,0.017575
20020628,989.81,-0.000838
20020701,968.65,-0.021378
20020702,948.09,-0.021225
20020703,953.99,0.006223
20020705,989.03,0.03673
20020708,976.98,-0.012184
20020709,952.83,-0.024719
20020710,920.47,-0.033962
20020711,927.37,0.007496
20020712,921.39,-0.006448
20020715,917.93,-0.003755
20020716,901.05,-0.018389
20020717,906.04,0.005538
20020718,881.56,-0.027019
20020719,847.76,-0.038341
20020722,819.85,-0.032922
20020723,797.7,-0.027017
20020724,843.42,0.057315
20020725,838.68,-0.00562
20020726,852.84,0.016884
20020729,898.96,0.054078
20020730,902.78,0.004249
20020731,911.62,0.009792
20020801,884.66,-0.029574
20020802,864.24,-0.023082
20020805,834.6,-0.034296
20020806,859.57,0.029919
20020807,876.77,0.02001
20020808,905.46,0.032722
20020809,908.64,0.003512
20020812,903.8,-0.005327
20020813,884.21,-0.021675
20020814,919.62,0.040047
20020815,930.25,0.011559
20020816,928.77,-0.001591
20020819,950.72,0.023633
20020820,937.43,-0.013979
20020821,949.36,0.012726
20020822,962.7,0.014052
20020823,940.86,-0.022686
20020826,947.95,0.007536
20020827,934.82,-0.013851
20020828,917.87,-0.018132
20020829,917.8,-0.000076
20020830,916.07,-0.001885
20020903,878.02,-0.041536
20020904,893.4,0.017517
20020905,879.15,-0.01595
20020906,893.92,0.0168
20020909,902.96,0.010113
20020910,909.58,0.007331
20020911,909.45,-0.000143
20020912,886.91,-0.024784
20020913,889.81,0.00327
20020916,891.1,0.00145
20020917,873.52,-0.019728
20020918,869.46,-0.004648
20020919,843.32,-0.030065
20020920,845.39,0.002455
20020923,833.7,-0.013828
20020924,819.29,-0.017284
20020925,839.66,0.024863
20020926,854.95,0.01821
20020927,827.37,-0.032259
20020930,815.29,-0.0146
20021001,847.91,0.04001
20021002,827.91,-0.023587
20021003,818.95,-0.010822
20021004,800.58,-0.022431
20021007,785.28,-0.019111
20021008,798.55,0.016898
20021009,776.76,-0.027287
20021010,803.92,0.034966
20021011,835.32,0.039059
20021014,841.44,0.007327
20021015,881.27,0.047336
20021016,860.02,-0.024113
20021017,879.2,0.022302
20021018,884.39,0.005903
20021021,899.72,0.017334
20021022,890.16,-0.010626
20021023,896.14,0.006718
20021024,882.5,-0.015221
20021025,897.65,0.017167
20021028,890.23,-0.008266
20021029,882.15,-0.009076
20021030,890.71,0.009704
20021031,885.76,-0.005557
20021101,900.96,0.01716
20021104,908.34,0.008191
20021105,915.39,0.007761
20021106,923.76,0.009144
