ticker,date,price
002044.SZ,2015-02-05,2.81
002044.SZ,2015-02-06,2.81
002044.SZ,2015-02-09,2.81
002044.SZ,2015-02-10,2.81
002044.SZ,2015-02-11,2.81
002044.SZ,2015-02-12,2.81
002044.SZ,2015-02-13,2.81
002044.SZ,2015-02-16,2.81
002044.SZ,2015-02-17,2.81
002044.SZ,2015-02-18,2.81
002044.SZ,2015-02-19,2.81
002044.SZ,2015-02-20,2.81
002044.SZ,2015-02-23,2.81
002044.SZ,2015-02-24,2.81
002044.SZ,2015-02-25,2.81
002044.SZ,2015-02-26,2.81
002044.SZ,2015-02-27,2.81
002044.SZ,2015-03-02,2.81
002044.SZ,2015-03-03,2.81
002044.SZ,2015-03-04,2.81
002044.SZ,2015-03-05,2.81
002044.SZ,2015-03-06,2.81
002044.SZ,2015-03-09,2.81
002044.SZ,2015-03-10,2.81
002044.SZ,2015-03-11,2.81
002044.SZ,2015-03-12,2.81
002044.SZ,2015-03-13,2.81
002044.SZ,2015-03-16,2.81
002044.SZ,2015-03-17,2.81
002044.SZ,2015-03-18,2.81
002044.SZ,2015-03-19,2.81
002044.SZ,2015-03-20,2.81
002044.SZ,2015-03-23,2.81
002044.SZ,2015-03-24,2.81
002044.SZ,2015-03-25,2.81
002044.SZ,2015-03-26,3.09
002044.SZ,2015-03-27,3.4
002044.SZ,2015-03-30,3.74
002044.SZ,2015-03-31,4.11
002044.SZ,2015-04-01,4.53
002044.SZ,2015-04-02,4.98
002044.SZ,2015-04-03,5.48
002044.SZ,2015-04-06,5.48
002044.SZ,2015-04-07,6.03
002044.SZ,2015-04-08,6.63
002044.SZ,2015-04-09,7.29
002044.SZ,2015-04-10,8.02
002044.SZ,2015-04-13,8.82
002044.SZ,2015-04-14,9.7
002044.SZ,2015-04-15,10.67
002044.SZ,2015-04-16,11.74
002044.SZ,2015-04-17,11.14
002044.SZ,2015-04-20,12.24
002044.SZ,2015-04-21,11.2
002044.SZ,2015-04-22,12.32
002044.SZ,2015-04-23,12.49
002044.SZ,2015-04-24,12.26
002044.SZ,2015-04-27,11.96
002044.SZ,2015-04-28,10.88
002044.SZ,2015-04-29,11.48
002044.SZ,2015-04-30,11.39
002044.SZ,2015-05-01,11.39
002044.SZ,2015-05-04,11.93
002044.SZ,2015-05-05,11.43
002044.SZ,2015-05-06,11.67
002044.SZ,2015-05-07,12.04
002044.SZ,2015-05-08,13.24
002044.SZ,2015-05-11,14.56
002044.SZ,2015-05-12,14.83
002044.SZ,2015-05-13,16.31
002044.SZ,2015-05-14,17.07
002044.SZ,2015-05-15,18.26
002044.SZ,2015-05-18,19.05
002044.SZ,2015-05-19,18.76
002044.SZ,2015-05-20,18.36
002044.SZ,2015-05-21,17.89
002044.SZ,2015-05-22,17.78
002044.SZ,2015-05-25,17.48
002044.SZ,2015-05-26,17.88
002044.SZ,2015-05-27,18.18
002044.SZ,2015-05-28,16.36
002044.SZ,2015-05-29,15.82
002044.SZ,2015-06-01,17.4
002044.SZ,2015-06-02,19.14
002044.SZ,2015-06-03,18.39
002044.SZ,2015-06-04,17.88
002044.SZ,2015-06-05,17.96
002044.SZ,2015-06-08,16.97
002044.SZ,2015-06-09,17.5
002044.SZ,2015-06-10,19.25
002044.SZ,2015-06-11,21.17
002044.SZ,2015-06-12,20.83
002044.SZ,2015-06-15,20.73
002044.SZ,2015-06-16,19.51
002044.SZ,2015-06-17,19.1
002044.SZ,2015-06-18,19.1
002044.SZ,2015-06-19,19.1
002044.SZ,2015-06-22,19.1
002044.SZ,2015-06-23,19.1
002044.SZ,2015-06-24,19.1
002044.SZ,2015-06-25,19.1
002044.SZ,2015-06-26,19.1
002044.SZ,2015-06-29,19.1
002044.SZ,2015-06-30,19.1
002044.SZ,2015-07-01,17.19
002044.SZ,2015-07-02,15.47
002044.SZ,2015-07-03,13.92
002044.SZ,2015-07-06,12.53
002044.SZ,2015-07-07,11.28
002044.SZ,2015-07-08,10.15
002044.SZ,2015-07-09,11.16
002044.SZ,2015-07-10,12.28
002044.SZ,2015-07-13,13.51
002044.SZ,2015-07-14,14.51
002044.SZ,2015-07-15,13.06
002044.SZ,2015-07-16,12.03
002044.SZ,2015-07-17,12.77
002044.SZ,2015-07-20,14.05
002044.SZ,2015-07-21,14.57
002044.SZ,2015-07-22,14.66
002044.SZ,2015-07-23,15.04
002044.SZ,2015-07-24,16.54
002044.SZ,2015-07-27,14.89
002044.SZ,2015-07-28,13.4
002044.SZ,2015-07-29,13.75
002044.SZ,2015-07-30,12.38
002044.SZ,2015-07-31,11.2
002044.SZ,2015-08-03,10.52
002044.SZ,2015-08-04,11.57
002044.SZ,2015-08-05,11.75
002044.SZ,2015-08-06,11.34
002044.SZ,2015-08-07,12.19
002044.SZ,2015-08-10,13.41
002044.SZ,2015-08-11,13.85
002044.SZ,2015-08-12,13.21
002044.SZ,2015-08-13,13.5
002044.SZ,2015-08-14,13.35
002044.SZ,2015-08-17,13.28
002044.SZ,2015-08-18,13.28
002044.SZ,2015-08-19,13.07
002044.SZ,2015-08-20,12.92
002044.SZ,2015-08-21,11.82
002044.SZ,2015-08-24,10.64
002044.SZ,2015-08-25,9.58
002044.SZ,2015-08-26,9.08
002044.SZ,2015-08-27,9.74
002044.SZ,2015-08-28,10.72
002044.SZ,2015-08-31,10.72
002044.SZ,2015-09-01,10.72
002044.SZ,2015-09-02,10.72
002044.SZ,2015-09-03,10.72
002044.SZ,2015-09-04,10.72
